Attainment,Regions,Employ,Total in labor force,Unemploy,Year
DISABILITY STATUS,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",0.0,0.0,0.0,2015
DISABILITY STATUS,Clark County,0.0,0.0,0.0,2015
DISABILITY STATUS,King County,0.0,0.0,0.0,2015
DISABILITY STATUS,Kitsap County,0.0,0.0,0.0,2015
DISABILITY STATUS,Label,,,,2015
DISABILITY STATUS,Pierce County,0.0,0.0,0.0,2015
DISABILITY STATUS,Snohomish County,0.0,0.0,0.0,2015
DISABILITY STATUS,Spokane County,0.0,0.0,0.0,2015
DISABILITY STATUS,Thurston County,0.0,0.0,0.0,2015
DISABILITY STATUS,Yakima County,0.0,0.0,0.0,2015
EDUCATIONAL ATTAINMENT,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",0.0,0.0,0.0,2015
EDUCATIONAL ATTAINMENT,Clark County,0.0,0.0,0.0,2015
EDUCATIONAL ATTAINMENT,King County,0.0,0.0,0.0,2015
EDUCATIONAL ATTAINMENT,Kitsap County,0.0,0.0,0.0,2015
EDUCATIONAL ATTAINMENT,Label,,,,2015
EDUCATIONAL ATTAINMENT,Pierce County,0.0,0.0,0.0,2015
EDUCATIONAL ATTAINMENT,Snohomish County,0.0,0.0,0.0,2015
EDUCATIONAL ATTAINMENT,Spokane County,0.0,0.0,0.0,2015
EDUCATIONAL ATTAINMENT,Thurston County,0.0,0.0,0.0,2015
EDUCATIONAL ATTAINMENT,Yakima County,0.0,0.0,0.0,2015
    At or above the poverty level,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",126667.0,159823.0,5639.0,2015
    At or above the poverty level,Chelan & Douglas Counties,44396.0,56628.0,2095.0,2015
    At or above the poverty level,Clallam & Jefferson Counties,32191.0,45726.0,2058.0,2015
    At or above the poverty level,Clark County,187553.0,240929.0,9454.0,2015
    At or above the poverty level,"Cowlitz, Pacific & Wahkiakum Counties",44153.0,60566.0,2120.0,2015
    At or above the poverty level,Grant & Kittitas Counties,47763.0,60922.0,2498.0,2015
    At or above the poverty level,Grays Harbor & Mason Counties,42368.0,60097.0,3846.0,2015
    At or above the poverty level,King County,642011.0,803940.0,30651.0,2015
    At or above the poverty level,Kitsap County,95365.0,135711.0,6526.0,2015
    At or above the poverty level,Label,,,,2015
    At or above the poverty level,"Lewis, Klickitat & Skamania Counties",34877.0,49053.0,2158.0,2015
    At or above the poverty level,Pierce County,331816.0,449070.0,22330.0,2015
    At or above the poverty level,"Skagit, Island & San Juan Counties",78483.0,106345.0,4254.0,2015
    At or above the poverty level,Snohomish County,347048.0,437434.0,15025.0,2015
    At or above the poverty level,Spokane County,177676.0,240915.0,12881.0,2015
    At or above the poverty level,"Stevens, Okanogan, Pend Oreille & Ferry Counties",31136.0,43608.0,959.0,2015
    At or above the poverty level,Thurston County,103353.0,139151.0,7319.0,2015
    At or above the poverty level,Whatcom County--Bellingham City,82568.0,106128.0,4457.0,2015
    At or above the poverty level,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",35555.0,47918.0,3019.0,2015
    At or above the poverty level,Yakima County,86435.0,112436.0,5503.0,2015
    Below poverty level,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",9684.0,25019.0,3620.0,2015
    Below poverty level,Chelan & Douglas Counties,2862.0,6751.0,425.0,2015
    Below poverty level,Clallam & Jefferson Counties,2575.0,7949.0,2377.0,2015
    Below poverty level,Clark County,8658.0,26655.0,7605.0,2015
    Below poverty level,"Cowlitz, Pacific & Wahkiakum Counties",3521.0,11108.0,2944.0,2015
    Below poverty level,Grant & Kittitas Counties,6334.0,15600.0,3104.0,2015
    Below poverty level,Grays Harbor & Mason Counties,3404.0,11659.0,4291.0,2015
    Below poverty level,King County,26481.0,72680.0,18844.0,2015
    Below poverty level,Kitsap County,4489.0,15047.0,4130.0,2015
    Below poverty level,Label,,,,2015
    Below poverty level,"Lewis, Klickitat & Skamania Counties",3133.0,10339.0,2792.0,2015
    Below poverty level,Pierce County,17600.0,55906.0,16130.0,2015
    Below poverty level,"Skagit, Island & San Juan Counties",6057.0,14185.0,2298.0,2015
    Below poverty level,Snohomish County,13153.0,40364.0,11167.0,2015
    Below poverty level,Spokane County,15704.0,44163.0,10127.0,2015
    Below poverty level,"Stevens, Okanogan, Pend Oreille & Ferry Counties",3525.0,12501.0,3363.0,2015
    Below poverty level,Thurston County,7443.0,21165.0,4644.0,2015
    Below poverty level,Whatcom County--Bellingham City,9229.0,20740.0,3381.0,2015
    Below poverty level,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",5641.0,12480.0,2633.0,2015
    Below poverty level,Yakima County,8003.0,20651.0,5117.0,2015
    Population 25 to 64 years,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",121055.0,167949.0,6409.0,2015
    Population 25 to 64 years,Chelan & Douglas Counties,43068.0,57654.0,1960.0,2015
    Population 25 to 64 years,Clallam & Jefferson Counties,31852.0,49847.0,3290.0,2015
    Population 25 to 64 years,Clark County,176154.0,242013.0,11362.0,2015
    Population 25 to 64 years,"Cowlitz, Pacific & Wahkiakum Counties",42709.0,65305.0,3592.0,2015
    Population 25 to 64 years,Grant & Kittitas Counties,45557.0,63539.0,3304.0,2015
    Population 25 to 64 years,Grays Harbor & Mason Counties,41357.0,66812.0,4810.0,2015
    Population 25 to 64 years,King County,618295.0,805258.0,37153.0,2015
    Population 25 to 64 years,Kitsap County,89059.0,135271.0,6804.0,2015
    Population 25 to 64 years,Label,,,,2015
    Population 25 to 64 years,"Lewis, Klickitat & Skamania Counties",34470.0,54283.0,3583.0,2015
    Population 25 to 64 years,Pierce County,311451.0,451118.0,26449.0,2015
    Population 25 to 64 years,"Skagit, Island & San Juan Counties",76329.0,109197.0,4586.0,2015
    Population 25 to 64 years,Snohomish County,324730.0,432409.0,18626.0,2015
    Population 25 to 64 years,Spokane County,172302.0,256462.0,16937.0,2015
    Population 25 to 64 years,"Stevens, Okanogan, Pend Oreille & Ferry Counties",32589.0,52394.0,2253.0,2015
    Population 25 to 64 years,Thurston County,99803.0,144176.0,8297.0,2015
    Population 25 to 64 years,Whatcom County--Bellingham City,74473.0,105336.0,6215.0,2015
    Population 25 to 64 years,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",32233.0,46987.0,3148.0,2015
    Population 25 to 64 years,Yakima County,82866.0,117265.0,5858.0,2015
    With any disability,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",6044.0,22529.0,5688.0,2015
    With any disability,Chelan & Douglas Counties,3770.0,8323.0,266.0,2015
    With any disability,Clallam & Jefferson Counties,2662.0,8874.0,2352.0,2015
    With any disability,Clark County,11829.0,30750.0,2523.0,2015
    With any disability,"Cowlitz, Pacific & Wahkiakum Counties",3226.0,12407.0,1352.0,2015
