Attainment,Regions,Year,Estimate Population,Employ,Total in labor force,Unemploy,Unemployed Rate
Bachelor's degree or higher,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2013,53255.0,33250.0,42189.0,1683.0,3.989191495413497
Bachelor's degree or higher,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2014,52862.0,35190.0,41332.0,966.0,2.3371721668440917
Bachelor's degree or higher,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2015,59367.0,37241.0,44278.0,787.0,1.7774063869190115
Bachelor's degree or higher,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2016,58780.0,38087.0,44699.0,1407.0,3.1477214255352473
Bachelor's degree or higher,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2017,59834.0,38506.0,44541.0,516.0,1.1584831952583012
Bachelor's degree or higher,Chelan & Douglas Counties,2013,15736.0,9337.0,11196.0,146.0,1.3040371561271884
Bachelor's degree or higher,Chelan & Douglas Counties,2014,19187.0,11177.0,13664.0,232.0,1.6978922716627636
Bachelor's degree or higher,Chelan & Douglas Counties,2015,17352.0,9979.0,12305.0,37.0,0.30069077610727346
Bachelor's degree or higher,Chelan & Douglas Counties,2016,18729.0,12055.0,13985.0,238.0,1.7018233821952091
Bachelor's degree or higher,Chelan & Douglas Counties,2017,19212.0,12040.0,14000.0,350.0,2.5
Bachelor's degree or higher,Clallam & Jefferson Counties,2013,22203.0,8043.0,11742.0,517.0,4.402997785726452
Bachelor's degree or higher,Clallam & Jefferson Counties,2014,22221.0,9136.0,12831.0,988.0,7.700101317122594
Bachelor's degree or higher,Clallam & Jefferson Counties,2015,23368.0,8709.0,12495.0,400.0,3.201280512204882
Bachelor's degree or higher,Clallam & Jefferson Counties,2016,22796.0,8989.0,13456.0,525.0,3.9016052318668253
Bachelor's degree or higher,Clallam & Jefferson Counties,2017,27157.0,9276.0,14184.0,383.0,2.700225606316977
Bachelor's degree or higher,Clark County,2013,80023.0,51011.0,63592.0,2079.0,3.269279154610643
Bachelor's degree or higher,Clark County,2014,84393.0,51533.0,63194.0,2666.0,4.2187549450897235
Bachelor's degree or higher,Clark County,2015,87771.0,53737.0,66152.0,1280.0,1.9349377191921635
Bachelor's degree or higher,Clark County,2016,93104.0,60264.0,74266.0,2698.0,3.632887189292543
Bachelor's degree or higher,Clark County,2017,104998.0,67602.0,80131.0,2038.0,2.5433352884651383
Bachelor's degree or higher,"Cowlitz, Pacific & Wahkiakum Counties",2013,14586.0,7527.0,10185.0,611.0,5.999018163966618
Bachelor's degree or higher,"Cowlitz, Pacific & Wahkiakum Counties",2014,13800.0,6317.0,9115.0,583.0,6.396050466264399
Bachelor's degree or higher,"Cowlitz, Pacific & Wahkiakum Counties",2015,17235.0,9091.0,11046.0,320.0,2.8969762810066992
Bachelor's degree or higher,"Cowlitz, Pacific & Wahkiakum Counties",2016,15187.0,7309.0,10082.0,373.0,3.69966276532434
Bachelor's degree or higher,"Cowlitz, Pacific & Wahkiakum Counties",2017,17507.0,9253.0,10989.0,692.0,6.297206297206297
Bachelor's degree or higher,Grant & Kittitas Counties,2013,18399.0,10719.0,13586.0,639.0,4.70337111732666
Bachelor's degree or higher,Grant & Kittitas Counties,2014,19939.0,10500.0,13708.0,452.0,3.2973446162824627
Bachelor's degree or higher,Grant & Kittitas Counties,2015,17141.0,10992.0,13827.0,664.0,4.802198596948001
Bachelor's degree or higher,Grant & Kittitas Counties,2016,24813.0,12943.0,15650.0,141.0,0.9009584664536741
Bachelor's degree or higher,Grant & Kittitas Counties,2017,22977.0,11964.0,14175.0,213.0,1.5026455026455028
Bachelor's degree or higher,Grays Harbor & Mason Counties,2013,14447.0,7307.0,9928.0,506.0,5.096696212731668
Bachelor's degree or higher,Grays Harbor & Mason Counties,2014,17963.0,7670.0,10895.0,447.0,4.102799449288665
Bachelor's degree or higher,Grays Harbor & Mason Counties,2015,17568.0,7061.0,9504.0,257.0,2.704124579124579
Bachelor's degree or higher,Grays Harbor & Mason Counties,2016,18039.0,9054.0,11608.0,476.0,4.100620261888353
Bachelor's degree or higher,Grays Harbor & Mason Counties,2017,16120.0,7945.0,9833.0,206.0,2.0949862707210416
Bachelor's degree or higher,King County,2013,727784.0,276682.0,342131.0,11747.0,3.4334801581850227
Bachelor's degree or higher,King County,2014,752592.0,288201.0,354645.0,11391.0,3.2119443387049023
Bachelor's degree or higher,King County,2015,785205.0,298264.0,363807.0,11836.0,3.253373354553376
Bachelor's degree or higher,King County,2016,821353.0,316131.0,384652.0,11305.0,2.939020205276458
Bachelor's degree or higher,King County,2017,838441.0,320608.0,391148.0,11377.0,2.9086177099205415
Bachelor's degree or higher,Kitsap County,2013,53903.0,31182.0,41036.0,1181.0,2.877960814894239
Bachelor's degree or higher,Kitsap County,2014,59277.0,30092.0,41335.0,1640.0,3.9675819523406313
Bachelor's degree or higher,Kitsap County,2015,55887.0,31309.0,40875.0,1132.0,2.769418960244648
Bachelor's degree or higher,Kitsap County,2016,60592.0,32864.0,43672.0,1258.0,2.880564205898516
Bachelor's degree or higher,Kitsap County,2017,63716.0,35500.0,46306.0,1134.0,2.44892670496264
Bachelor's degree or higher,"Lewis, Klickitat & Skamania Counties",2013,11060.0,6615.0,8569.0,411.0,4.796358968374373
Bachelor's degree or higher,"Lewis, Klickitat & Skamania Counties",2014,11189.0,6956.0,9201.0,672.0,7.303553961525921
Bachelor's degree or higher,"Lewis, Klickitat & Skamania Counties",2015,17526.0,8189.0,10635.0,425.0,3.996238834038552
Bachelor's degree or higher,"Lewis, Klickitat & Skamania Counties",2016,15650.0,9185.0,11080.0,155.0,1.3989169675090252
Bachelor's degree or higher,"Lewis, Klickitat & Skamania Counties",2017,16790.0,8963.0,11856.0,534.0,4.504048582995952
Bachelor's degree or higher,Pierce County,2013,145730.0,87439.0,109936.0,5622.0,5.11388444185708
Bachelor's degree or higher,Pierce County,2014,141950.0,82542.0,108644.0,4321.0,3.9772099701778285
Bachelor's degree or higher,Pierce County,2015,149143.0,87798.0,113966.0,4252.0,3.730937297088605
Bachelor's degree or higher,Pierce County,2016,160827.0,98668.0,122163.0,3236.0,2.648919885726447
Bachelor's degree or higher,Pierce County,2017,157158.0,95833.0,119990.0,3445.0,2.8710725893824485
Bachelor's degree or higher,"Skagit, Island & San Juan Counties",2013,41891.0,20145.0,28334.0,1105.0,3.899908237453236
Bachelor's degree or higher,"Skagit, Island & San Juan Counties",2014,46468.0,21634.0,28961.0,1332.0,4.599288698594662
Bachelor's degree or higher,"Skagit, Island & San Juan Counties",2015,46921.0,22132.0,28706.0,689.0,2.4001950811677
Bachelor's degree or higher,"Skagit, Island & San Juan Counties",2016,47295.0,20676.0,26922.0,431.0,1.6009211797043308
Bachelor's degree or higher,"Skagit, Island & San Juan Counties",2017,53486.0,24057.0,31613.0,948.0,2.998766330307152
Bachelor's degree or higher,Snohomish County,2013,161623.0,106819.0,127977.0,5794.0,4.527376012877314
Bachelor's degree or higher,Snohomish County,2014,157498.0,103545.0,128175.0,4826.0,3.765164813731227
Bachelor's degree or higher,Snohomish County,2015,176394.0,117846.0,141610.0,4186.0,2.9560059317844787
Bachelor's degree or higher,Snohomish County,2016,177887.0,119403.0,142025.0,2245.0,1.580707621897553
Bachelor's degree or higher,Snohomish County,2017,188120.0,123880.0,148037.0,3359.0,2.2690273377601544
Bachelor's degree or higher,Spokane County,2013,90442.0,54241.0,67656.0,1702.0,2.5156674943833512
Bachelor's degree or higher,Spokane County,2014,95083.0,56081.0,71466.0,2535.0,3.5471412979598687
Bachelor's degree or higher,Spokane County,2015,97369.0,57329.0,73786.0,2359.0,3.1970834575664764
Bachelor's degree or higher,Spokane County,2016,109478.0,62268.0,78619.0,2361.0,3.0030908558999734
Bachelor's degree or higher,Spokane County,2017,114522.0,69690.0,83524.0,1526.0,1.8270197787462286
Bachelor's degree or higher,"Stevens, Okanogan, Pend Oreille & Ferry Counties",2013,13684.0,7219.0,10110.0,253.0,2.502472799208704
Bachelor's degree or higher,"Stevens, Okanogan, Pend Oreille & Ferry Counties",2014,14293.0,6641.0,8999.0,531.0,5.900655628403156
Bachelor's degree or higher,"Stevens, Okanogan, Pend Oreille & Ferry Counties",2015,14449.0,7104.0,9166.0,37.0,0.4036657211433559
Bachelor's degree or higher,"Stevens, Okanogan, Pend Oreille & Ferry Counties",2016,13652.0,6092.0,8666.0,156.0,1.8001384721901683
Bachelor's degree or higher,"Stevens, Okanogan, Pend Oreille & Ferry Counties",2017,14946.0,6984.0,9299.0,158.0,1.699107430906549
Bachelor's degree or higher,Thurston County,2013,59122.0,34027.0,44968.0,1854.0,4.12293186265789
Bachelor's degree or higher,Thurston County,2014,64204.0,38672.0,49221.0,2638.0,5.359501025984844
Bachelor's degree or higher,Thurston County,2015,61386.0,37387.0,46482.0,1208.0,2.5988554709349856
Bachelor's degree or higher,Thurston County,2016,72194.0,40961.0,51793.0,1236.0,2.3864228756781807
Bachelor's degree or higher,Thurston County,2017,71521.0,40860.0,52689.0,3076.0,5.83803070849703
Bachelor's degree or higher,Whatcom County--Bellingham City,2013,46339.0,25243.0,31832.0,1337.0,4.200175923598894
Bachelor's degree or higher,Whatcom County--Bellingham City,2014,46287.0,26753.0,33567.0,1947.0,5.800339619268924
Bachelor's degree or higher,Whatcom County--Bellingham City,2015,49510.0,26804.0,33297.0,1032.0,3.0993783223713844
Bachelor's degree or higher,Whatcom County--Bellingham City,2016,48225.0,28337.0,33815.0,1082.0,3.1997634186012127
Bachelor's degree or higher,Whatcom County--Bellingham City,2017,58282.0,32218.0,38864.0,700.0,1.8011527377521614
Bachelor's degree or higher,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2013,20788.0,11561.0,14151.0,439.0,3.102254257649636
Bachelor's degree or higher,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2014,19325.0,11129.0,13911.0,417.0,2.997627776579685
Bachelor's degree or higher,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2015,22333.0,12876.0,15551.0,467.0,3.003022313677577
Bachelor's degree or higher,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2016,22979.0,14169.0,16456.0,263.0,1.598201263976665
Bachelor's degree or higher,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2017,20409.0,11738.0,15087.0,241.0,1.597401736594419
Bachelor's degree or higher,Yakima County,2013,24288.0,14124.0,16725.0,659.0,3.9402092675635276
Bachelor's degree or higher,Yakima County,2014,23245.0,13143.0,16185.0,151.0,0.9329626197096076
