Attainment,Regions,Employ,Total in labor force,Unemploy,Year
Bachelor's degree or higher,"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",37241.0,44278.0,787.0,2015
Bachelor's degree or higher,Chelan & Douglas Counties,9979.0,12305.0,37.0,2015
Bachelor's degree or higher,Clallam & Jefferson Counties,8709.0,12495.0,400.0,2015
Bachelor's degree or higher,Clark County,53737.0,66152.0,1280.0,2015
Bachelor's degree or higher,"Cowlitz, Pacific & Wahkiakum Counties",9091.0,11046.0,320.0,2015
Bachelor's degree or higher,Grant & Kittitas Counties,10992.0,13827.0,664.0,2015
Bachelor's degree or higher,Grays Harbor & Mason Counties,7061.0,9504.0,257.0,2015
Bachelor's degree or higher,King County,298264.0,363807.0,11836.0,2015
Bachelor's degree or higher,Kitsap County,31309.0,40875.0,1132.0,2015
Bachelor's degree or higher,Label,,,,2015
Bachelor's degree or higher,"Lewis, Klickitat & Skamania Counties",8189.0,10635.0,425.0,2015
Bachelor's degree or higher,Pierce County,87798.0,113966.0,4252.0,2015
Bachelor's degree or higher,"Skagit, Island & San Juan Counties",22132.0,28706.0,689.0,2015
Bachelor's degree or higher,Snohomish County,117846.0,141610.0,4186.0,2015
Bachelor's degree or higher,Spokane County,57329.0,73786.0,2359.0,2015
Bachelor's degree or higher,"Stevens, Okanogan, Pend Oreille & Ferry Counties",7104.0,9166.0,37.0,2015
Bachelor's degree or higher,Thurston County,37387.0,46482.0,1208.0,2015
Bachelor's degree or higher,Whatcom County--Bellingham City,26804.0,33297.0,1032.0,2015
Bachelor's degree or higher,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",12876.0,15551.0,467.0,2015
Bachelor's degree or higher,Yakima County,14161.0,17391.0,438.0,2015
High school graduate (includes equivalency),"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",25269.0,40368.0,2258.0,2015
High school graduate (includes equivalency),Chelan & Douglas Counties,12503.0,16919.0,947.0,2015
High school graduate (includes equivalency),Clallam & Jefferson Counties,9671.0,14222.0,683.0,2015
High school graduate (includes equivalency),Clark County,39570.0,58634.0,3367.0,2015
High school graduate (includes equivalency),"Cowlitz, Pacific & Wahkiakum Counties",11823.0,19972.0,1158.0,2015
High school graduate (includes equivalency),Grant & Kittitas Counties,11164.0,15571.0,327.0,2015
High school graduate (includes equivalency),Grays Harbor & Mason Counties,12519.0,22557.0,2504.0,2015
High school graduate (includes equivalency),King County,101844.0,146324.0,9471.0,2015
High school graduate (includes equivalency),Kitsap County,19793.0,30976.0,2005.0,2015
High school graduate (includes equivalency),Label,,,,2015
High school graduate (includes equivalency),"Lewis, Klickitat & Skamania Counties",8262.0,14806.0,1569.0,2015
High school graduate (includes equivalency),Pierce County,83895.0,127823.0,9348.0,2015
