Region,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree,Year
Washington,25151.0,32077.0,37295.0,58262.0,72335.0,2016
Whatcom County--Bellingham City,30993.0,35391.0,32483.0,40925.0,65254.0,2016
"Skajit, Island & San Juan Counties",23234.0,32342.0,36466.0,46030.0,60197.0,2016
Chelan & Douglas Counties,20887.0,27306.0,37142.0,40218.0,62721.0,2016
"Stevens, Okanogan, Pend Oreille & Ferry Counties",23607.0,26692.0,35375.0,47450.0,63171.0,2016
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",21832.0,31623.0,31466.0,38152.0,42147.0,2016
Grant & Kittitas Counties,25803.0,27298.0,31594.0,31761.0,65157.0,2016
"Lewis, Klickitat & Skamania Counties",21732.0,30809.0,31472.0,34919.0,55744.0,2016
"Cowlitz, Pacific & Wahkiakum Counties",22301.0,33129.0,30593.0,47999.0,64299.0,2016
Grays Harbor & Mason Counties,12469.0,26925.0,28419.0,47148.0,49881.0,2016
Clallam & Jefferson Counties,18210.0,31232.0,31810.0,38591.0,45548.0,2016
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",67139.0,90827.0,109303.0,180505.0,202856.0,2016
Clark County,129604.0,135533.0,151592.0,228627.0,270683.0,2016
King County,281787.0,397959.0,479449.0,757965.0,911296.0,2016
Kitsap County,49720.0,68501.0,78452.0,107987.0,137940.0,2016
Pierce County,185613.0,244930.0,281747.0,375562.0,495275.0,2016
Spokane County,107429.0,117706.0,126950.0,186223.0,230284.0,2016
Snohomish County,181875.0,221331.0,265043.0,376912.0,465404.0,2016
Thurston County,55940.0,59015.0,76996.0,110568.0,126501.0,2016
Yakima County,44857.0,60802.0,64474.0,90331.0,127628.0,2016
