Region,Year,Educational Attainment,Median Income
Washington,2013,        Less than high school graduate,21550.0
Washington,2013,        High school graduate (includes equivalency),30595.0
Washington,2013,        Some college or associate's degree,35743.0
Washington,2013,        Bachelor's degree,52013.0
Washington,2013,        Graduate or professional degree,67087.0
Whatcom County--Bellingham City,2013,        Less than high school graduate,17974.0
Whatcom County--Bellingham City,2013,        High school graduate (includes equivalency),28829.0
Whatcom County--Bellingham City,2013,        Some college or associate's degree,31249.0
Whatcom County--Bellingham City,2013,        Bachelor's degree,41104.0
Whatcom County--Bellingham City,2013,        Graduate or professional degree,51720.0
"Skajit, Island & San Juan Counties",2013,        Less than high school graduate,17962.0
"Skajit, Island & San Juan Counties",2013,        High school graduate (includes equivalency),30850.0
"Skajit, Island & San Juan Counties",2013,        Some college or associate's degree,31993.0
"Skajit, Island & San Juan Counties",2013,        Bachelor's degree,41720.0
"Skajit, Island & San Juan Counties",2013,        Graduate or professional degree,60486.0
Chelan & Douglas Counties,2013,        Less than high school graduate,25124.0
Chelan & Douglas Counties,2013,        High school graduate (includes equivalency),26195.0
Chelan & Douglas Counties,2013,        Some college or associate's degree,32170.0
Chelan & Douglas Counties,2013,        Bachelor's degree,37938.0
Chelan & Douglas Counties,2013,        Graduate or professional degree,61676.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2013,        Less than high school graduate,25325.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2013,        High school graduate (includes equivalency),24632.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2013,        Some college or associate's degree,26994.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2013,        Bachelor's degree,36000.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2013,        Graduate or professional degree,62043.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2013,        Less than high school graduate,22274.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2013,        High school graduate (includes equivalency),27536.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2013,        Some college or associate's degree,30670.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2013,        Bachelor's degree,36534.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2013,        Graduate or professional degree,52942.0
Grant & Kittitas Counties,2013,        Less than high school graduate,21093.0
Grant & Kittitas Counties,2013,        High school graduate (includes equivalency),27925.0
Grant & Kittitas Counties,2013,        Some college or associate's degree,31918.0
Grant & Kittitas Counties,2013,        Bachelor's degree,35940.0
Grant & Kittitas Counties,2013,        Graduate or professional degree,60647.0
"Lewis, Klickitat & Skamania Counties",2013,        Less than high school graduate,19127.0
"Lewis, Klickitat & Skamania Counties",2013,        High school graduate (includes equivalency),26195.0
"Lewis, Klickitat & Skamania Counties",2013,        Some college or associate's degree,30152.0
"Lewis, Klickitat & Skamania Counties",2013,        Bachelor's degree,39301.0
"Lewis, Klickitat & Skamania Counties",2013,        Graduate or professional degree,56923.0
"Cowlitz, Pacific & Wahkiakum Counties",2013,        Less than high school graduate,25806.0
"Cowlitz, Pacific & Wahkiakum Counties",2013,        High school graduate (includes equivalency),22929.0
"Cowlitz, Pacific & Wahkiakum Counties",2013,        Some college or associate's degree,33086.0
"Cowlitz, Pacific & Wahkiakum Counties",2013,        Bachelor's degree,46558.0
"Cowlitz, Pacific & Wahkiakum Counties",2013,        Graduate or professional degree,51485.0
Grays Harbor & Mason Counties,2013,        Less than high school graduate,24513.0
Grays Harbor & Mason Counties,2013,        High school graduate (includes equivalency),24887.0
Grays Harbor & Mason Counties,2013,        Some college or associate's degree,31316.0
Grays Harbor & Mason Counties,2013,        Bachelor's degree,39224.0
Grays Harbor & Mason Counties,2013,        Graduate or professional degree,61531.0
Clallam & Jefferson Counties,2013,        Less than high school graduate,17365.0
Clallam & Jefferson Counties,2013,        High school graduate (includes equivalency),24569.0
Clallam & Jefferson Counties,2013,        Some college or associate's degree,28776.0
Clallam & Jefferson Counties,2013,        Bachelor's degree,40185.0
Clallam & Jefferson Counties,2013,        Graduate or professional degree,41526.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2013,        Less than high school graduate,66764.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2013,        High school graduate (includes equivalency),83018.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2013,        Some college or associate's degree,98774.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2013,        Bachelor's degree,171509.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2013,        Graduate or professional degree,181911.0
Clark County,2013,        Less than high school graduate,104405.0
Clark County,2013,        High school graduate (includes equivalency),126349.0
Clark County,2013,        Some college or associate's degree,143453.0
Clark County,2013,        Bachelor's degree,206466.0
Clark County,2013,        Graduate or professional degree,230411.0
King County,2013,        Less than high school graduate,232618.0
King County,2013,        High school graduate (includes equivalency),359183.0
King County,2013,        Some college or associate's degree,446323.0
King County,2013,        Bachelor's degree,670313.0
King County,2013,        Graduate or professional degree,843098.0
Kitsap County,2013,        Less than high school graduate,46878.0
Kitsap County,2013,        High school graduate (includes equivalency),60607.0
Kitsap County,2013,        Some college or associate's degree,77252.0
Kitsap County,2013,        Bachelor's degree,116018.0
Kitsap County,2013,        Graduate or professional degree,125348.0
Pierce County,2013,        Less than high school graduate,163311.0
Pierce County,2013,        High school graduate (includes equivalency),223870.0
Pierce County,2013,        Some college or associate's degree,275689.0
Pierce County,2013,        Bachelor's degree,358501.0
Pierce County,2013,        Graduate or professional degree,390332.0
Spokane County,2013,        Less than high school graduate,75948.0
Spokane County,2013,        High school graduate (includes equivalency),112038.0
Spokane County,2013,        Some college or associate's degree,122523.0
Spokane County,2013,        Bachelor's degree,161174.0
Spokane County,2013,        Graduate or professional degree,243155.0
Snohomish County,2013,        Less than high school graduate,158334.0
Snohomish County,2013,        High school graduate (includes equivalency),216360.0
Snohomish County,2013,        Some college or associate's degree,244110.0
Snohomish County,2013,        Bachelor's degree,341805.0
Snohomish County,2013,        Graduate or professional degree,415438.0
Thurston County,2013,        Less than high school graduate,51006.0
Thurston County,2013,        High school graduate (includes equivalency),60948.0
Thurston County,2013,        Some college or associate's degree,80089.0
Thurston County,2013,        Bachelor's degree,100176.0
Thurston County,2013,        Graduate or professional degree,132999.0
Yakima County,2013,        Less than high school graduate,39655.0
Yakima County,2013,        High school graduate (includes equivalency),52623.0
Yakima County,2013,        Some college or associate's degree,57224.0
Yakima County,2013,        Bachelor's degree,73317.0
Yakima County,2013,        Graduate or professional degree,119275.0
Washington,2014,        Less than high school graduate,22799.0
Washington,2014,        High school graduate (includes equivalency),31016.0
Washington,2014,        Some college or associate's degree,35409.0
Washington,2014,        Bachelor's degree,54844.0
Washington,2014,        Graduate or professional degree,70746.0
Whatcom County--Bellingham City,2014,        Less than high school graduate,25051.0
Whatcom County--Bellingham City,2014,        High school graduate (includes equivalency),31085.0
Whatcom County--Bellingham City,2014,        Some college or associate's degree,31524.0
Whatcom County--Bellingham City,2014,        Bachelor's degree,40245.0
Whatcom County--Bellingham City,2014,        Graduate or professional degree,51598.0
"Skajit, Island & San Juan Counties",2014,        Less than high school graduate,22904.0
"Skajit, Island & San Juan Counties",2014,        High school graduate (includes equivalency),31878.0
"Skajit, Island & San Juan Counties",2014,        Some college or associate's degree,31419.0
"Skajit, Island & San Juan Counties",2014,        Bachelor's degree,39298.0
"Skajit, Island & San Juan Counties",2014,        Graduate or professional degree,61189.0
Chelan & Douglas Counties,2014,        Less than high school graduate,22199.0
Chelan & Douglas Counties,2014,        High school graduate (includes equivalency),30217.0
Chelan & Douglas Counties,2014,        Some college or associate's degree,33108.0
Chelan & Douglas Counties,2014,        Bachelor's degree,41685.0
Chelan & Douglas Counties,2014,        Graduate or professional degree,45619.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2014,        Less than high school graduate,19905.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2014,        High school graduate (includes equivalency),24822.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2014,        Some college or associate's degree,26902.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2014,        Bachelor's degree,42052.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2014,        Graduate or professional degree,51400.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2014,        Less than high school graduate,25187.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2014,        High school graduate (includes equivalency),27667.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2014,        Some college or associate's degree,30986.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2014,        Bachelor's degree,38716.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2014,        Graduate or professional degree,47214.0
Grant & Kittitas Counties,2014,        Less than high school graduate,22600.0
Grant & Kittitas Counties,2014,        High school graduate (includes equivalency),30114.0
Grant & Kittitas Counties,2014,        Some college or associate's degree,31309.0
Grant & Kittitas Counties,2014,        Bachelor's degree,45669.0
Grant & Kittitas Counties,2014,        Graduate or professional degree,51730.0
"Lewis, Klickitat & Skamania Counties",2014,        Less than high school graduate,20348.0
"Lewis, Klickitat & Skamania Counties",2014,        High school graduate (includes equivalency),26592.0
"Lewis, Klickitat & Skamania Counties",2014,        Some college or associate's degree,30994.0
"Lewis, Klickitat & Skamania Counties",2014,        Bachelor's degree,40823.0
"Lewis, Klickitat & Skamania Counties",2014,        Graduate or professional degree,60622.0
"Cowlitz, Pacific & Wahkiakum Counties",2014,        Less than high school graduate,25880.0
"Cowlitz, Pacific & Wahkiakum Counties",2014,        High school graduate (includes equivalency),26948.0
"Cowlitz, Pacific & Wahkiakum Counties",2014,        Some college or associate's degree,31319.0
"Cowlitz, Pacific & Wahkiakum Counties",2014,        Bachelor's degree,41948.0
"Cowlitz, Pacific & Wahkiakum Counties",2014,        Graduate or professional degree,53778.0
Grays Harbor & Mason Counties,2014,        Less than high school graduate,20807.0
Grays Harbor & Mason Counties,2014,        High school graduate (includes equivalency),27851.0
Grays Harbor & Mason Counties,2014,        Some college or associate's degree,29429.0
Grays Harbor & Mason Counties,2014,        Bachelor's degree,48268.0
Grays Harbor & Mason Counties,2014,        Graduate or professional degree,45675.0
Clallam & Jefferson Counties,2014,        Less than high school graduate,35369.0
Clallam & Jefferson Counties,2014,        High school graduate (includes equivalency),25588.0
Clallam & Jefferson Counties,2014,        Some college or associate's degree,27715.0
Clallam & Jefferson Counties,2014,        Bachelor's degree,32392.0
Clallam & Jefferson Counties,2014,        Graduate or professional degree,54034.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2014,        Less than high school graduate,75244.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2014,        High school graduate (includes equivalency),88050.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2014,        Some college or associate's degree,97031.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2014,        Bachelor's degree,169470.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2014,        Graduate or professional degree,183231.0
Clark County,2014,        Less than high school graduate,103897.0
Clark County,2014,        High school graduate (includes equivalency),123325.0
Clark County,2014,        Some college or associate's degree,136521.0
Clark County,2014,        Bachelor's degree,214861.0
Clark County,2014,        Graduate or professional degree,238539.0
King County,2014,        Less than high school graduate,283778.0
King County,2014,        High school graduate (includes equivalency),383980.0
King County,2014,        Some college or associate's degree,432161.0
King County,2014,        Bachelor's degree,708158.0
King County,2014,        Graduate or professional degree,845459.0
Kitsap County,2014,        Less than high school graduate,49861.0
Kitsap County,2014,        High school graduate (includes equivalency),60381.0
Kitsap County,2014,        Some college or associate's degree,71570.0
Kitsap County,2014,        Bachelor's degree,102537.0
Kitsap County,2014,        Graduate or professional degree,151536.0
Pierce County,2014,        Less than high school graduate,185326.0
Pierce County,2014,        High school graduate (includes equivalency),242766.0
Pierce County,2014,        Some college or associate's degree,263792.0
Pierce County,2014,        Bachelor's degree,360750.0
Pierce County,2014,        Graduate or professional degree,459205.0
Spokane County,2014,        Less than high school graduate,73397.0
Spokane County,2014,        High school graduate (includes equivalency),103206.0
Spokane County,2014,        Some college or associate's degree,122914.0
Spokane County,2014,        Bachelor's degree,199091.0
Spokane County,2014,        Graduate or professional degree,247082.0
Snohomish County,2014,        Less than high school graduate,149072.0
Snohomish County,2014,        High school graduate (includes equivalency),215049.0
Snohomish County,2014,        Some college or associate's degree,242068.0
Snohomish County,2014,        Bachelor's degree,345418.0
Snohomish County,2014,        Graduate or professional degree,445977.0
Thurston County,2014,        Less than high school graduate,67375.0
Thurston County,2014,        High school graduate (includes equivalency),53044.0
Thurston County,2014,        Some college or associate's degree,80249.0
Thurston County,2014,        Bachelor's degree,99556.0
Thurston County,2014,        Graduate or professional degree,142312.0
Yakima County,2014,        Less than high school graduate,40553.0
Yakima County,2014,        High school graduate (includes equivalency),52916.0
Yakima County,2014,        Some college or associate's degree,64795.0
Yakima County,2014,        Bachelor's degree,97760.0
Yakima County,2014,        Graduate or professional degree,116471.0
Washington,2015,        Less than high school graduate,24751.0
Washington,2015,        High school graduate (includes equivalency),31319.0
Washington,2015,        Some college or associate's degree,37293.0
Washington,2015,        Bachelor's degree,55795.0
Washington,2015,        Graduate or professional degree,71123.0
Whatcom County--Bellingham City,2015,        Less than high school graduate,24722.0
Whatcom County--Bellingham City,2015,        High school graduate (includes equivalency),33003.0
Whatcom County--Bellingham City,2015,        Some college or associate's degree,30113.0
Whatcom County--Bellingham City,2015,        Bachelor's degree,38748.0
Whatcom County--Bellingham City,2015,        Graduate or professional degree,50420.0
"Skajit, Island & San Juan Counties",2015,        Less than high school graduate,25989.0
"Skajit, Island & San Juan Counties",2015,        High school graduate (includes equivalency),30419.0
"Skajit, Island & San Juan Counties",2015,        Some college or associate's degree,35594.0
"Skajit, Island & San Juan Counties",2015,        Bachelor's degree,41591.0
"Skajit, Island & San Juan Counties",2015,        Graduate or professional degree,60959.0
Chelan & Douglas Counties,2015,        Less than high school graduate,25660.0
Chelan & Douglas Counties,2015,        High school graduate (includes equivalency),26779.0
Chelan & Douglas Counties,2015,        Some college or associate's degree,36674.0
Chelan & Douglas Counties,2015,        Bachelor's degree,42357.0
Chelan & Douglas Counties,2015,        Graduate or professional degree,62334.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2015,        Less than high school graduate,19825.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2015,        High school graduate (includes equivalency),25031.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2015,        Some college or associate's degree,31959.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2015,        Bachelor's degree,36383.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2015,        Graduate or professional degree,62684.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2015,        Less than high school graduate,21947.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2015,        High school graduate (includes equivalency),30244.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2015,        Some college or associate's degree,30801.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2015,        Bachelor's degree,32529.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2015,        Graduate or professional degree,43423.0
Grant & Kittitas Counties,2015,        Less than high school graduate,22284.0
Grant & Kittitas Counties,2015,        High school graduate (includes equivalency),31308.0
Grant & Kittitas Counties,2015,        Some college or associate's degree,34573.0
Grant & Kittitas Counties,2015,        Bachelor's degree,37485.0
Grant & Kittitas Counties,2015,        Graduate or professional degree,66103.0
"Lewis, Klickitat & Skamania Counties",2015,        Less than high school graduate,25020.0
"Lewis, Klickitat & Skamania Counties",2015,        High school graduate (includes equivalency),31027.0
"Lewis, Klickitat & Skamania Counties",2015,        Some college or associate's degree,35497.0
"Lewis, Klickitat & Skamania Counties",2015,        Bachelor's degree,40103.0
"Lewis, Klickitat & Skamania Counties",2015,        Graduate or professional degree,60550.0
"Cowlitz, Pacific & Wahkiakum Counties",2015,        Less than high school graduate,18899.0
"Cowlitz, Pacific & Wahkiakum Counties",2015,        High school graduate (includes equivalency),30253.0
