Region,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree,Year
Washington,25668.0,34196.0,39947.0,59662.0,76407.0,2017
Whatcom County--Bellingham City,30591.0,31988.0,39332.0,41786.0,68983.0,2017
"Skajit, Island & San Juan Counties",31385.0,35817.0,34145.0,47257.0,65100.0,2017
Chelan & Douglas Counties,25872.0,27807.0,33322.0,45795.0,65140.0,2017
"Stevens, Okanogan, Pend Oreille & Ferry Counties",19366.0,32315.0,27951.0,39012.0,58487.0,2017
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",20167.0,29331.0,33171.0,43008.0,50965.0,2017
Grant & Kittitas Counties,26419.0,33552.0,36443.0,40951.0,62272.0,2017
"Lewis, Klickitat & Skamania Counties",24874.0,31733.0,31883.0,36682.0,64205.0,2017
"Cowlitz, Pacific & Wahkiakum Counties",29016.0,31558.0,29202.0,42159.0,63229.0,2017
Grays Harbor & Mason Counties,21217.0,36149.0,32998.0,37107.0,61940.0,2017
Clallam & Jefferson Counties,17476.0,30287.0,36212.0,38057.0,50371.0,2017
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",69540.0,98926.0,114107.0,174467.0,215585.0,2017
Clark County,123109.0,139803.0,172470.0,249698.0,279768.0,2017
King County,268773.0,402124.0,494074.0,767153.0,952895.0,2017
Kitsap County,71764.0,63983.0,83458.0,110423.0,151084.0,2017
Pierce County,214885.0,254665.0,297669.0,387193.0,475803.0,2017
Spokane County,86055.0,127504.0,133425.0,187458.0,268962.0,2017
Snohomish County,198606.0,238518.0,265162.0,386569.0,448789.0,2017
Thurston County,36869.0,71287.0,79806.0,103981.0,132653.0,2017
Yakima County,49005.0,57191.0,67660.0,93497.0,114139.0,2017
