Region,Year,Educational Attainment,Median Income
Washington,2013,Less than High School,21550.0
Washington,2013,High school,30595.0
Washington,2013,College,35743.0
Washington,2013,Bachelor,52013.0
Washington,2013,Graduate,67087.0
Whatcom County--Bellingham City,2013,Less than High School,17974.0
Whatcom County--Bellingham City,2013,High school,28829.0
Whatcom County--Bellingham City,2013,College,31249.0
Whatcom County--Bellingham City,2013,Bachelor,41104.0
Whatcom County--Bellingham City,2013,Graduate,51720.0
"Skajit, Island & San Juan Counties",2013,Less than High School,17962.0
"Skajit, Island & San Juan Counties",2013,High school,30850.0
"Skajit, Island & San Juan Counties",2013,College,31993.0
"Skajit, Island & San Juan Counties",2013,Bachelor,41720.0
"Skajit, Island & San Juan Counties",2013,Graduate,60486.0
Chelan & Douglas Counties,2013,Less than High School,25124.0
Chelan & Douglas Counties,2013,High school,26195.0
Chelan & Douglas Counties,2013,College,32170.0
Chelan & Douglas Counties,2013,Bachelor,37938.0
Chelan & Douglas Counties,2013,Graduate,61676.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2013,Less than High School,25325.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2013,High school,24632.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2013,College,26994.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2013,Bachelor,36000.0
"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate",2013,Graduate,62043.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2013,Less than High School,22274.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2013,High school,27536.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2013,College,30670.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2013,Bachelor,36534.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate",2013,Graduate,52942.0
Grant & Kittitas Counties,2013,Less than High School,21093.0
Grant & Kittitas Counties,2013,High school,27925.0
Grant & Kittitas Counties,2013,College,31918.0
Grant & Kittitas Counties,2013,Bachelor,35940.0
Grant & Kittitas Counties,2013,Graduate,60647.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2013,Less than High School,19127.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2013,High school,26195.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2013,College,30152.0
"Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate",2013,Bachelor,39301.0
