"County","Count","Population","Percentage","Lower CI","Upper CI"
"State Total","7865","61198","16.99","16.56","17.44"
"Adams","46","495","14.78","9.84","21.6"
"Asotin","68","673","16.4","11.66","22.56"
"Benton","199","1513","16.88","14.37","19.74"
"Chelan","93","731","18.31","14.57","22.76"
"Clallam","62","701","17.83","13.04","23.89"
"Clark","386","3209","16.61","14.83","18.55"
"Columbia","40","466","8.87 (NR)","3.99 (NR)","18.57 (NR)"
"Cowlitz","139","1111","16.83","13.61","20.63"
"Douglas","49","464","19.26","13.23","27.17"
"Ferry","30","205","17.05 (NR)","9.03 (NR)","29.84 (NR)"
"Franklin","57","565","14.83","11.05","19.63"
"Garfield","57","448","27.25","17.39","39.99"
"Grant","101","841","13.26","10.4","16.76"
"Grays Harbor","84","693","16.46","12.75","21"
"Island","94","765","19.46","15.19","24.59"
"Jefferson","56","606","14.07","8.94","21.45"
"King","2398","15706","18.13","17.34","18.95"
"Kitsap","228","2028","16.27","13.95","18.89"
"Kittitas","66","599","18.33","13.39","24.58"
"Klickitat","69","599","18.89","13.19","26.31"
"Lewis","67","733","13.58","10.29","17.72"
"Lincoln","58","483","14.43","9.4","21.5"
"Mason","89","596","17.18","12.63","22.93"
"Okanogan","64","608","14.78","10.98","19.61"
"Pacific","51","486","12.04","8.01","17.7"
"Pend Oreille","43","331","18.94","12.33","27.97"
"Pierce","731","5797","16.29","15.02","17.64"
"San Juan","70","498","22.34","16.07","30.17"
"Skagit","129","1024","14.32","11.57","17.59"
"Skamania","58","457","14.23","9.52","20.73"
"Snohomish","673","5451","16.15","14.84","17.55"
"Spokane","520","4226","16.7","15.12","18.4"
"Stevens","89","734","20.94","15.67","27.42"
"Thurston","250","1993","16.3","14.17","18.67"
"Wahkiakum","52","508","21.12","12.64","33.12"
"Walla Walla","56","633","16.45","11.8","22.46"
"Whatcom","241","1592","20.6","17.94","23.54"
"Whitman","109","808","14.91","12.05","18.31"
"Yakima","193","1822","13.81","11.68","16.24"


"Percent of adults who report binge drinking on at least one occasion in the last 30 days"
"Geography: County, Time period: 2013-2017"
"Created: 3/9/2023"

"""**"" indicates data suppression to protect confidentiality."

"""--"" indicates no data collected."

"""NR"" indicates data are not reliable."
