"County","Count","Population","Percentage","Lower CI","Upper CI"
"State Total","7460","62065","14.96","14.54","15.39"
"Adams","47","503","8.37 (NR)","5.08 (NR)","13.51 (NR)"
"Asotin","100","682","12.39","9.09","16.66"
"Benton","167","1532","14.35","11.96","17.11"
"Chelan","85","740","12.36","9.5","15.93"
"Clallam","81","706","21.21","16.31","27.11"
"Clark","431","3250","17.14","15.34","19.1"
"Columbia","70","472","26.8","16.28","40.81"
"Cowlitz","211","1132","20.68","17.48","24.3"
"Douglas","56","477","15.28","9.82","23.01"
"Ferry","49","207","32.69","23.58","43.33"
"Franklin","61","580","11.52","8.47","15.47"
"Garfield","64","451","25.13","16.71","35.96"
"Grant","121","853","18.24","14.8","22.26"
"Grays Harbor","127","700","21.9","17.58","26.93"
"Island","96","774","19.74","15.3","25.08"
"Jefferson","68","608","25.2","17.3","35.18"
"King","1343","15925","10.83","10.16","11.53"
"Kitsap","241","2050","16.14","13.93","18.62"
"Kittitas","67","609","14.76","10.35","20.62"
"Klickitat","76","606","20.42","14.44","28.07"
"Lewis","130","739","21.05","16.97","25.8"
"Lincoln","57","486","14.17","9.51","20.6"
"Mason","113","595","21.74","16.54","28.02"
"Okanogan","107","621","22.66","17.86","28.3"
"Pacific","67","493","20.2","14.08","28.11"
"Pend Oreille","57","337","16.8","10.79","25.22"
"Pierce","845","5883","18.08","16.75","19.49"
"San Juan","49","501","15.9","10.74","22.89"
"Skagit","136","1051","15.21","12.4","18.52"
"Skamania","69","467","19.68","12.4","29.78"
"Snohomish","669","5541","15.17","13.89","16.54"
"Spokane","591","4279","17.8","16.18","19.55"
"Stevens","121","740","28.01","22.47","34.31"
"Thurston","267","2024","16.28","14.18","18.61"
"Wahkiakum","61","517","13.03 (NR)","6.84 (NR)","23.43 (NR)"
"Walla Walla","55","645","11.72","7.95","16.94"
"Whatcom","169","1620","12.87","10.65","15.47"
"Whitman","86","821","14.5","10.85","19.12"
"Yakima","250","1848","15.76","13.5","18.31"


"Percent of adults who who reported current smoking"
"Geography: County, Time period: 2013-2017"
"Created: 3/9/2023"

"""**"" indicates data suppression to protect confidentiality."

"""--"" indicates no data collected."

"""NR"" indicates data are not reliable."
