"County","Count","Population","Percentage","Lower CI","Upper CI"
"State Total","6403","63109","11.66","11.3","12.04"
"Adams","40","517","5.13 (NR)","2.75 (NR)","9.38 (NR)"
"Asotin","95","691","16.05","11.72","21.59"
"Benton","146","1569","10.83","8.86","13.19"
"Chelan","74","748","9.49","7.14","12.51"
"Clallam","75","707","11.54","8.27","15.88"
"Clark","362","3294","13.34","11.72","15.14"
"Columbia","49","474","7.89 (NR)","4.09 (NR)","14.68 (NR)"
"Cowlitz","155","1151","16.26","13.23","19.83"
"Douglas","41","484","11.48","7.21","17.78"
"Ferry","21","208","16.08 (NR)","8.17 (NR)","29.21 (NR)"
"Franklin","66","600","11.09","8.23","14.78"
"Garfield","51","455","10.08 (NR)","4.94 (NR)","19.48 (NR)"
"Grant","79","875","10.3","7.82","13.44"
"Grays Harbor","98","701","16.28","12.44","21.02"
"Island","70","785","11.64","8.53","15.7"
"Jefferson","54","614","13.7","8.72","20.86"
"King","1413","16275","10.16","9.54","10.82"
"Kitsap","218","2092","11.83","10.01","13.92"
"Kittitas","44","614","7.74","5.06","11.66"
"Klickitat","68","614","11.01","7.43","16.01"
"Lewis","81","746","12.59","9.34","16.77"
"Lincoln","37","496","13.03 (NR)","7.13 (NR)","22.61 (NR)"
"Mason","79","612","12.19","8.95","16.39"
"Okanogan","71","635","11.97","8.55","16.5"
"Pacific","57","493","17.37","11.47","25.43"
"Pend Oreille","32","338","6.87 (NR)","3.91 (NR)","11.79 (NR)"
"Pierce","716","5994","14.63","13.43","15.92"
"San Juan","44","508","9.71 (NR)","5.77 (NR)","15.9 (NR)"
"Skagit","88","1066","8.86","6.69","11.65"
"Skamania","75","463","18.71","12.5","27.05"
"Snohomish","546","5615","10.92","9.84","12.09"
"Spokane","464","4326","12","10.71","13.43"
"Stevens","98","748","16.7","12.47","22"
"Thurston","201","2056","10.66","8.95","12.65"
"Wahkiakum","61","520","9.25 (NR)","4.14 (NR)","19.41 (NR)"
"Walla Walla","65","652","10.53","7.31","14.95"
"Whatcom","170","1660","10.82","8.92","13.07"
"Whitman","89","830","13.29","10.05","17.37"
"Yakima","210","1883","13.68","11.57","16.09"


"Percent of adults who who reported poor mental health during the past 30 days"
"Geography: County, Time period: 2013-2017"
"Created: 3/9/2023"

"""**"" indicates data suppression to protect confidentiality."

"""--"" indicates no data collected."

"""NR"" indicates data are not reliable."
