"Label (Grouping)","Washington!!Total!!Estimate","Whatcom County--Bellingham City PUMA, Washington!!Total!!Estimate","Skagit, Island & San Juan Counties PUMA; Washington!!Total!!Estimate","Chelan & Douglas Counties PUMA, Washington!!Total!!Estimate","Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington!!Total!!Estimate","Spokane County (North Central)--Spokane City (North) PUMA, Washington!!Total!!Estimate","Spokane County (South Central)--Spokane City (South) PUMA, Washington!!Total!!Estimate","Spokane County (East Central)--Greater Spokane Valley City PUMA, Washington!!Total!!Estimate","Spokane County (Outer)--Cheney City PUMA, Washington!!Total!!Estimate","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington!!Total!!Estimate","Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities PUMA; Washington!!Total!!Estimate","Benton County (East Central)--Kennewick & Richland (South) Cities PUMA, Washington!!Total!!Estimate","Walla Walla, Benton (Outer) & Franklin (Outer) Counties PUMA; Washington!!Total!!Estimate","Grant & Kittitas Counties PUMA, Washington!!Total!!Estimate","Yakima County (Central)--Greater Yakima City PUMA, Washington!!Total!!Estimate","Yakima County (Outer)--Sunnyside & Grandview Cities PUMA, Washington!!Total!!Estimate","Lewis, Klickitat & Skamania Counties PUMA; Washington!!Total!!Estimate","Clark County (Southwest)--Vancouver City (West & Central) PUMA, Washington!!Total!!Estimate","Clark County (West Central)--Salmon Creek & Hazel Dell PUMA, Washington!!Total!!Estimate","Clark County (Southeast)--Vancouver (East), Camas & Washougal Cities PUMA; Washington!!Total!!Estimate","Clark County (North)--Battle Ground City & Orchards PUMA, Washington!!Total!!Estimate","Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington!!Total!!Estimate","Grays Harbor & Mason Counties PUMA, Washington!!Total!!Estimate","Thurston County (Central)--Olympia, Lacey & Tumwater Cities PUMA; Washington!!Total!!Estimate","Thurston County (Outer) PUMA, Washington!!Total!!Estimate","Pierce County (Central)--Tacoma City (Central) PUMA, Washington!!Total!!Estimate","Pierce County (Northwest)--Peninsula Region & Tacoma City (West) PUMA, Washington!!Total!!Estimate","Pierce County (West Central)--Lakewood City & Joint Base Lewis-McChord PUMA, Washington!!Total!!Estimate","Pierce County (South Central)--Tacoma City (South), Parkland & Spanaway PUMA; Washington!!Total!!Estimate","Pierce County (North Central)--Tacoma (Port) & Bonney Lake (Northwest) Cities PUMA, Washington!!Total!!Estimate","Pierce County (East Central)--Puyallup City & South Hill PUMA, Washington!!Total!!Estimate","Pierce County (Southeast)--Graham, Elk Plain & Prairie Ridge PUMA; Washington!!Total!!Estimate","Seattle City (Northwest) PUMA, Washington!!Total!!Estimate","Seattle City (Northeast) PUMA, Washington!!Total!!Estimate","Seattle City (Downtown)--Queen Anne & Magnolia PUMA, Washington!!Total!!Estimate","Seattle City (Southeast)--Capitol Hill PUMA, Washington!!Total!!Estimate","Seattle City (West)--Duwamish & Beacon Hill PUMA, Washington!!Total!!Estimate","King County (Northwest)--Shoreline, Kenmore & Bothell (South) Cities PUMA; Washington!!Total!!Estimate","King County (Northwest)--Redmond, Kirkland Cities, Inglewood & Finn Hill PUMA; Washington!!Total!!Estimate","King County (Northwest Central)--Greater Bellevue City PUMA, Washington!!Total!!Estimate","King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities PUMA; Washington!!Total!!Estimate","King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway PUMA; Washington!!Total!!Estimate","King County (West Central)--Burien, SeaTac, Tukwila Cities & White Center PUMA; Washington!!Total!!Estimate","King County (Far Southwest)--Federal Way, Des Moines Cities & Vashon Island PUMA; Washington!!Total!!Estimate","King County (Southwest Central)--Kent City PUMA, Washington!!Total!!Estimate","King County (Southwest)--Auburn City & Lakeland PUMA, Washington!!Total!!Estimate","King County (Southeast)--Maple Valley, Covington & Enumclaw Cities PUMA; Washington!!Total!!Estimate","King County (Northeast)--Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill PUMA; Washington!!Total!!Estimate","Snohomish County (Southwest)--Edmonds, Lynnwood & Mountlake Terrace Cities PUMA; Washington!!Total!!Estimate","Snohomish County (West Central)--Mukilteo & Everett (Southwest) Cities PUMA, Washington!!Total!!Estimate","Snohomish County (Central)--Everett City (Central & East) & Eastmont PUMA, Washington!!Total!!Estimate","Snohomish County (South Central)--Bothell (North), Mill Creek Cities & Silver Firs PUMA; Washington!!Total!!Estimate","Snohomish County (Central & Southeast)--Lake Stevens & Monroe Cities PUMA, Washington!!Total!!Estimate","Snohomish County (North)--Marysville & Arlington Cities PUMA, Washington!!Total!!Estimate","Kitsap County (North)--Bainbridge Island City & Silverdale PUMA, Washington!!Total!!Estimate","Kitsap County (South)--Bremerton & Port Orchard Cities PUMA, Washington!!Total!!Estimate","Clallam & Jefferson Counties PUMA, Washington!!Total!!Estimate"
"Population 16 years and over with earnings","4,038,281","126,517","114,461","59,809","48,389","67,249","68,560","78,129","59,373","60,437","62,093","56,634","58,263","73,447","61,053","54,409","54,616","62,820","64,880","59,491","63,988","59,336","60,797","92,781","57,609","69,157","65,281","61,579","71,575","69,493","69,507","60,244","106,865","82,699","101,659","97,669","88,064","69,470","88,762","81,580","82,223","85,063","77,842","72,473","73,670","65,567","69,245","63,293","71,518","79,902","69,713","73,280","78,302","81,666","69,975","70,647","45,157"
"Median earnings (dollars)","38,437","30,910","32,323","29,642","26,946","28,506","31,760","35,080","32,398","21,863","35,248","33,579","31,358","30,082","26,570","26,211","29,875","32,340","39,943","47,453","42,698","29,098","30,359","36,900","40,072","36,551","38,707","31,039","31,582","49,841","39,759","40,393","57,403","39,669","61,543","50,389","48,504","51,595","65,706","73,532","82,278","37,452","31,121","35,290","35,143","36,000","50,430","68,948","41,789","41,279","36,229","56,485","42,329","41,562","40,005","36,238","31,218"
"FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","2,526,056","65,424","66,503","36,237","26,105","39,330","41,410","50,701","35,110","28,884","38,038","36,185","33,280","44,077","36,551","30,715","31,291","37,017","42,454","38,036","42,244","33,855","36,021","58,851","34,840","43,853","37,670","41,897","44,056","50,388","44,476","39,513","71,393","46,108","69,527","61,362","56,089","47,614","60,075","56,657","54,153","54,178","46,628","45,719","45,899","41,902","47,242","42,382","42,763","52,166","44,996","48,076","52,231","53,155","47,671","46,760","26,298"
"    $1 to $9,999 or loss","31,394","95","1,652","306","240","471","1,651","1,202","704","337","91","457","205","602","816","508","632","695","500","596","860","479","650","687","565","534","717","332","390","759","366","136","349","739","455","705","259","536","439","96","201","568","420","366","979","381","965","94","426","562","719","440","701","575","683","711","790"
"    $10,000 to $14,999","51,167","1,210","2,110","797","937","880","1,176","1,004","1,032","600","700","1,212","1,305","1,676","2,073","1,040","1,809","1,001","1,288","862","990","1,053","666","962","350","856","857","1,544","880","841","847","717","1,059","592","822","712","762","924","322","690","454","796","739","1,428","1,026","658","310","372","311","858","649","764","746","307","840","1,146","605"
"    $15,000 to $24,999","221,888","6,302","7,338","6,359","4,389","6,201","5,037","6,115","3,465","4,901","3,729","4,706","3,492","5,593","6,442","5,582","3,482","4,098","3,238","2,215","3,516","3,916","4,285","4,442","2,044","4,735","1,817","7,939","4,785","2,427","2,736","1,846","1,944","2,036","1,761","3,129","3,852","2,687","2,068","2,379","1,472","4,431","6,232","5,522","5,966","4,101","2,820","1,539","1,989","2,484","3,702","1,906","4,507","3,373","5,763","5,635","3,418"
"    $25,000 to $34,999","331,774","11,062","11,617","7,441","4,500","8,190","6,502","7,828","4,785","4,480","5,214","5,539","4,728","7,729","6,648","6,523","5,755","6,911","5,461","3,313","4,093","5,475","6,965","8,090","4,757","6,689","3,474","7,449","8,291","6,339","5,569","7,601","5,461","4,410","3,270","6,911","5,628","3,950","4,287","2,430","2,118","7,210","8,143","6,158","6,193","6,483","4,117","1,760","4,712","7,563","7,752","3,677","6,598","7,033","6,088","6,931","3,873"
"    $35,000 to $49,999","474,428","13,748","13,635","6,700","5,901","8,242","8,999","10,890","6,819","6,677","8,964","5,601","7,621","10,630","8,610","8,685","6,476","8,463","9,166","5,225","7,762","6,405","8,005","12,308","8,009","10,407","6,485","8,947","12,772","8,541","9,648","6,574","9,661","7,440","8,722","8,456","7,920","7,427","4,946","6,137","3,906","11,420","9,087","10,126","10,668","8,960","7,485","3,915","9,640","11,654","9,779","6,728","9,743","10,367","8,615","8,984","5,727"
"    $50,000 to $64,999","401,112","9,678","10,756","3,469","3,760","7,131","7,924","9,096","5,962","4,415","6,705","4,669","5,299","6,329","5,203","3,947","4,851","5,986","6,356","6,284","8,626","5,869","7,180","11,119","5,758","7,663","6,502","6,157","8,349","9,174","8,337","8,558","10,438","7,408","10,908","9,923","9,236","6,751","7,321","5,454","4,092","10,719","8,128","6,367","8,543","7,819","7,877","4,528","7,054","8,752","7,110","5,893","7,987","9,679","6,016","8,209","3,788"
"    $65,000 to $74,999","196,923","5,396","4,603","2,527","1,965","2,052","3,495","2,985","2,991","1,899","3,003","2,751","3,018","3,437","1,513","1,345","3,031","2,464","3,403","3,420","4,003","2,974","2,796","5,749","3,498","2,697","2,528","2,846","3,385","4,390","3,865","4,208","6,859","3,648","3,729","4,671","4,383","3,584","4,157","3,249","2,792","4,038","3,302","3,598","3,856","2,828","4,152","3,423","4,089","6,136","4,011","4,543","4,051","4,239","3,573","4,097","1,678"
"    $75,000 to $99,999","323,252","8,481","6,228","2,646","2,520","3,358","3,240","5,864","4,823","3,026","4,746","5,025","3,130","4,402","2,278","1,882","2,982","3,480","5,767","7,110","5,517","3,887","3,431","8,353","5,541","5,313","5,790","3,095","3,020","9,290","6,408","5,148","13,623","6,401","10,814","11,275","9,203","7,462","8,044","7,633","6,965","6,679","4,538","5,963","3,547","5,792","6,913","5,218","6,350","6,043","5,575","6,560","8,505","7,666","7,174","6,364","3,164"
"    $100,000 or more","494,118","9,452","8,564","5,992","1,893","2,805","3,386","5,717","4,529","2,549","4,886","6,225","4,482","3,679","2,968","1,203","2,273","3,919","7,275","9,011","6,877","3,797","2,043","7,141","4,318","4,959","9,500","3,588","2,184","8,627","6,700","4,725","21,999","13,434","29,046","15,580","14,846","14,293","28,491","28,589","32,153","8,317","6,039","6,191","5,121","4,880","12,603","21,533","8,192","8,114","5,699","17,565","9,393","9,916","8,919","4,683","3,255"
"Median earnings (dollars) for full-time, year-round workers with earnings","54,477","50,265","46,432","41,481","41,640","40,938","45,389","47,539","51,002","42,285","50,483","50,657","47,171","42,273","37,657","37,694","42,307","43,217","52,195","66,152","55,917","48,075","45,625","52,664","51,735","46,977","61,150","40,269","42,456","60,702","53,440","54,129","74,876","65,839","82,852","66,403","65,612","70,131","93,201","100,370","111,350","52,254","46,944","48,508","46,081","50,497","65,084","100,446","58,394","52,772","49,786","75,182","56,994","56,811","51,998","49,947","46,893"
